fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,P-lisiere,45.086219999999997,-73.103420000000000,lisiere,mixte,20682.5835343455
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,Q-lisiere,45.082180000000001,-73.108559999999997,lisiere,mixte,85404.1939572818
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,W-lisiere,45.088810000000002,-73.097790000000003,lisiere,foret,7192.91980286455
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,Y-lisiere,45.089779999999998,-73.091390000000004,lisiere,foret,58951.6477950735
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,2713.84112457623
313,1746435,IEQM,Bon,0.011837052277685,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,Francine-3,45.083750000000002,-73.105000000000004,lisiere,mixte,7453.02984269173
313,1746435,IEQM,Bon,0.011837052277685,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,Q-lisiere,45.082180000000001,-73.108559999999997,lisiere,mixte,11731.6708579015
98,25861,OCCUP_SOL_BTSL,Excellent,0.437383444978063,Marécage,Marécage,,,,G-foret,45.104979999999998,-73.201110000000000,foret,mixte,130549.762249962
98,25861,OCCUP_SOL_BTSL,Excellent,0.437383444978063,Marécage,Marécage,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,121831.743976401
101,4722,OCCUP_SOL_BTSL,Excellent,0.703096482386935,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,G-foret,45.104979999999998,-73.201110000000000,foret,mixte,116971.507511804
101,4722,OCCUP_SOL_BTSL,Excellent,0.703096482386935,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,75787.9616996758
128,25879,OCCUP_SOL_BTSL,Excellent,0.200014239834173,Marécage,Marécage,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,3462.03790812136
130,25827,OCCUP_SOL_BTSL,Excellent,0.026149204404853,Marécage,Marécage,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,26149.2037053318
133,181223,MH_DETAIL,Excellent,0.000410423735604,Marécage,Marécage,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,410.423750191927
136,181404,MH_DETAIL,Excellent,0.000409867479034,Marécage,Marécage,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,240.29190165922
139,1746478,IEQM,Bon,0.011047450745898,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,104.09094298433
141,1746623,IEQM,Bon,0.011346019640616,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,11177.7792564705
145,2074210,"BDTQ;CANVEC",Faible,0.011890557697903,Milieu humide,Milieu humide,,,,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,1247.75788201048
175,1818,OCCUP_SOL_BTSL,Excellent,0.601433292647776,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,H-lisiere,45.093150000000001,-73.129909999999995,lisiere,mixte,131818.948738129
182,4690,OCCUP_SOL_BTSL,Excellent,0.045715204935866,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,H-lisiere,45.093150000000001,-73.129909999999995,lisiere,mixte,16139.2312255219
183,25502,OCCUP_SOL_BTSL,Excellent,0.055440228508850,Marécage,Marécage,,,,H-lisiere,45.093150000000001,-73.129909999999995,lisiere,mixte,22916.5506373275
195,1747038,IEQM,Bon,0.022266972952675,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,H-lisiere,45.093150000000001,-73.129909999999995,lisiere,mixte,14117.2588073813
293,180257,MH_DETAIL,Excellent,0.008463028272603,Marécage,Marécage,,,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,8429.30162717029
293,180257,MH_DETAIL,Excellent,0.008463028272603,Marécage,Marécage,,,,P-lisiere,45.086219999999997,-73.103420000000000,lisiere,mixte,13.4755482710898
293,180257,MH_DETAIL,Excellent,0.008463028272603,Marécage,Marécage,,,,Y-lisiere,45.089779999999998,-73.091390000000004,lisiere,foret,20.2424680236727
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,108147.574337189
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,J-lisiere,45.085830000000001,-73.080380000000005,lisiere,mixte,197456.231278145
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,K-foret,45.079470000000001,-73.081540000000004,foret,mixte,142361.408915965
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,K-lisiere,45.080539999999999,-73.077849999999998,lisiere,foret,202314.918230626
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,L-foret_O-lisiere,45.073110000000000,-73.073589999999996,lisiere,mixte,126365.80746486
